iter	RMSE
0	5.031852187
1	4.888092584
2	4.742949461
3	4.612648216
4	4.491332481
5	4.375422512
6	4.271249583
7	4.169722382
8	4.0725956
9	3.980959076
10	3.895136966
11	3.81710501
12	3.741433748
13	3.672082665
14	3.607347814
15	3.547433859
16	3.489796773
17	3.43688633
18	3.394482389
19	3.346584363
20	3.30287225
21	3.260435473
22	3.223162253
23	3.188733707
24	3.155245119
25	3.126583605
26	3.101045772
27	3.074467991
28	3.054029046
29	3.029589413
30	3.008175285
31	2.985430263
32	2.965935183
33	2.947644943
34	2.933670945
35	2.919542131
36	2.906036373
37	2.893607567
38	2.879805804
39	2.866588648
40	2.855199853
41	2.844397956
42	2.834249378
43	2.825240365
44	2.816489735
45	2.807183347
46	2.800028371
47	2.79222637
48	2.784719238
49	2.776998872
50	2.771133152
51	2.76356283
52	2.757195664
53	2.753172514
54	2.748124704
55	2.741930962
56	2.737134343
57	2.733654783
58	2.729789556
59	2.726589616
60	2.723257562
61	2.719279195
62	2.714527126
63	2.711159541
64	2.708622648
65	2.705547286
66	2.701736595
67	2.698919066
68	2.696733614
69	2.693912004
70	2.692082188
71	2.687782081
72	2.685541901
73	2.68185599
74	2.679382499
75	2.676637039
76	2.674492626
77	2.671343281
78	2.669136974
79	2.666641254
80	2.665219868
81	2.664174067
82	2.661781905
83	2.659760218
84	2.656860924
85	2.655207517
86	2.654072319
87	2.65249541
88	2.650240566
89	2.648529182
90	2.645697536
91	2.643141262
92	2.641648302
93	2.640264774
94	2.637618982
95	2.635961802
96	2.634255878
97	2.633083546
98	2.631254437
99	2.629665085
100	2.627219547
101	2.626237354
102	2.624993546
103	2.622867593
104	2.621008834
105	2.61920867
106	2.618484732
107	2.615827483
108	2.613840335
109	2.613132177
110	2.610023361
111	2.607426615
112	2.607037728
113	2.603802365
114	2.602908951
115	2.601614041
116	2.597780403
117	2.596851298
118	2.595973795
119	2.593561203
120	2.592766105
121	2.591432411
122	2.589395505
123	2.587425437
124	2.584952581
125	2.583165608
126	2.580474488
127	2.579971474
128	2.579316932
129	2.578213053
130	2.577370822
131	2.575580465
132	2.574832897
133	2.574321519
134	2.572690622
135	2.572089629
136	2.5703233
137	2.569464569
138	2.566713628
139	2.565005483
140	2.563796461
141	2.562040375
142	2.561394236
143	2.55926287
144	2.556881524
145	2.55601091
146	2.554234499
147	2.553073273
148	2.551372566
149	2.549599202
150	2.548404463
151	2.547942195
152	2.547198697
153	2.546977221
154	2.545233204
155	2.544923939
156	2.542263735
157	2.540845579
158	2.538951372
159	2.536099089
160	2.533488723
161	2.531131387
162	2.528848286
163	2.527386016
164	2.525501981
165	2.522748103
166	2.520590825
167	2.519551342
168	2.51891313
169	2.517385252
170	2.515376224
171	2.513299691
172	2.510291066
173	2.509631446
174	2.508797221
175	2.507500437
176	2.505327332
177	2.503141489
178	2.500710099
179	2.499143655
180	2.498489848
181	2.497956637
182	2.497312238
183	2.495495311
184	2.494597541
185	2.493535826
186	2.492935853
187	2.491198508
188	2.489366169
189	2.487733267
190	2.487020252
191	2.485160335
192	2.483742461
193	2.481034444
194	2.480756617
195	2.480101163
196	2.479618544
197	2.479425937
198	2.476699357
199	2.476102228
