iter	Passed	Remaining
0	1	238
1	2	250
2	3	232
3	4	214
4	5	209
5	6	222
6	7	214
7	8	213
8	9	207
9	10	203
10	11	197
11	12	192
12	13	191
13	14	188
14	14	184
15	15	181
16	16	177
17	17	175
18	18	172
19	18	169
20	19	168
21	20	165
22	21	163
23	22	161
24	22	159
25	23	158
26	24	158
27	25	158
28	26	157
29	27	158
30	28	156
31	29	155
32	30	154
33	31	153
34	32	153
35	33	152
36	34	150
37	35	149
38	35	147
39	36	146
40	37	145
41	38	145
42	39	145
43	40	143
44	41	142
45	42	141
46	42	139
47	43	138
48	44	137
49	45	136
50	46	134
51	46	133
52	47	132
53	48	130
54	49	129
55	49	128
56	50	127
57	51	126
58	52	124
59	53	123
60	53	122
61	54	121
62	55	120
63	56	119
64	56	118
65	57	117
66	58	115
67	59	114
68	60	114
69	60	113
70	61	112
71	62	111
72	64	111
73	64	110
74	65	109
75	66	108
76	66	107
77	67	105
78	68	104
79	69	104
80	70	103
81	71	103
82	72	101
83	72	100
84	73	99
85	74	98
86	75	97
87	75	96
88	76	95
89	77	94
90	77	93
91	78	92
92	79	91
93	80	90
94	81	89
95	81	88
96	82	87
97	83	87
98	84	86
99	85	85
100	85	84
101	86	83
102	87	82
103	88	81
104	88	80
105	89	79
106	90	78
107	91	77
108	92	77
109	93	76
110	94	75
111	95	75
112	96	74
113	98	73
114	98	72
115	99	71
116	100	71
117	101	70
118	101	69
119	102	68
120	103	67
121	104	66
122	105	65
123	106	65
124	107	64
125	108	63
126	108	62
127	109	61
128	110	61
129	111	60
130	112	59
131	113	58
132	114	57
133	115	56
134	116	56
135	117	55
136	118	54
137	119	53
138	120	52
139	120	51
140	121	51
141	122	50
142	123	49
143	125	48
144	126	48
145	127	47
146	128	46
147	129	45
148	129	44
149	130	43
150	131	42
151	132	41
152	133	40
153	134	40
154	134	39
155	135	38
156	136	37
157	136	36
158	137	35
159	138	34
160	139	33
161	140	32
162	140	32
163	141	31
164	142	30
165	143	29
166	143	28
167	144	27
168	145	26
169	146	25
170	146	24
171	147	24
172	148	23
173	148	22
174	151	21
175	152	20
176	153	19
177	154	19
178	155	18
179	156	17
180	157	16
181	157	15
182	158	14
183	159	13
184	159	12
185	160	12
186	161	11
187	162	10
188	163	9
189	164	8
190	164	7
191	165	6
192	166	6
193	167	5
194	167	4
195	168	3
196	169	2
197	170	1
198	171	0
199	172	0
