iter	RMSE
0	5.569290348
1	5.413944748
2	5.278419171
3	5.149582579
4	5.028095505
5	4.933892481
6	4.842830306
7	4.75387971
8	4.679569446
9	4.609347446
10	4.54467665
11	4.489463405
12	4.439862844
13	4.39868769
14	4.35776737
15	4.324068876
16	4.288322664
17	4.263801441
18	4.235511307
19	4.209876617
20	4.186046159
21	4.160900745
22	4.145245535
23	4.128737712
24	4.110074142
25	4.095323009
26	4.078275286
27	4.067900192
28	4.056671034
29	4.046503169
30	4.032174439
31	4.018593314
32	4.004148973
33	3.989432413
34	3.979654162
35	3.972542955
36	3.9582588
37	3.950271733
38	3.944059974
39	3.936121231
40	3.921400071
41	3.914201694
42	3.901451915
43	3.897568367
44	3.889318145
45	3.885893101
46	3.875539172
47	3.865264409
48	3.860872833
49	3.853073695
50	3.8417349
51	3.836803597
52	3.828717422
53	3.813256082
54	3.806083904
55	3.800771568
56	3.787789804
57	3.780249728
58	3.774521411
59	3.768953102
60	3.763545241
61	3.754996281
62	3.747585842
63	3.741608823
64	3.73565267
65	3.727540381
66	3.71902079
67	3.709475529
68	3.704200282
69	3.701092959
70	3.694632402
71	3.69037869
72	3.682927685
73	3.678605338
74	3.674971972
75	3.672841476
76	3.668343051
77	3.663741407
78	3.6577652
79	3.651634565
80	3.647149411
81	3.642533682
82	3.638820101
83	3.6336606
84	3.630125936
85	3.627397935
86	3.62587801
87	3.617733866
88	3.616873188
89	3.615659714
90	3.611946404
91	3.608741552
92	3.599099404
93	3.588993053
94	3.584269331
95	3.574952993
96	3.56864608
97	3.565940777
98	3.56332426
99	3.558413967
100	3.554445587
101	3.548269653
102	3.545649904
103	3.538745254
104	3.533226354
105	3.526878593
106	3.524289391
107	3.521872551
108	3.518253222
109	3.510923117
110	3.506532131
111	3.499935531
112	3.498520662
113	3.490371489
114	3.487865484
115	3.485599465
116	3.479812447
117	3.472896526
118	3.471529982
119	3.469956372
120	3.466910244
121	3.46168493
122	3.460315991
123	3.449953306
124	3.448826481
125	3.447713025
126	3.441369805
127	3.42922006
128	3.42354304
129	3.42011049
130	3.419082864
131	3.416447436
132	3.407573624
133	3.397473814
134	3.396375081
135	3.390743124
136	3.385689705
137	3.374890243
138	3.368720213
139	3.360072711
140	3.357382711
141	3.347814675
142	3.343457774
143	3.340809993
144	3.328155444
145	3.327366945
146	3.32113726
147	3.316079325
148	3.311820526
149	3.302659644
150	3.300136822
151	3.295386314
152	3.28949428
153	3.283553599
154	3.2767481
155	3.271893272
156	3.265098411
157	3.259560228
158	3.251696255
159	3.240865273
160	3.239965821
161	3.238923283
162	3.230395553
163	3.222904239
164	3.218036859
165	3.207756497
166	3.205393091
167	3.20012906
168	3.198026966
169	3.19591222
170	3.19252639
171	3.189222217
172	3.187232623
173	3.176363557
174	3.173756471
175	3.169696239
176	3.164534966
177	3.162203926
178	3.157391014
179	3.15472664
180	3.152985575
181	3.146778425
182	3.142532599
183	3.131468076
184	3.126393591
185	3.119427213
186	3.117355946
187	3.110836221
188	3.104240431
189	3.100107849
190	3.098867775
191	3.095277512
192	3.094065289
193	3.091029606
194	3.086029849
195	3.082780056
196	3.079720365
197	3.07558088
198	3.075482533
199	3.071749946
200	3.070238473
201	3.066428827
202	3.060754764
203	3.052553494
204	3.045120687
205	3.043904783
206	3.039337373
207	3.03634144
208	3.033927569
209	3.033061431
210	3.03140185
211	3.026748716
212	3.023622856
213	3.016572285
214	3.013862176
215	3.009536528
216	3.008900647
217	3.001709182
218	3.000508724
219	2.992096167
220	2.991945592
221	2.988741308
222	2.983547044
223	2.977101027
224	2.970570878
225	2.969749902
226	2.96048146
227	2.958132612
228	2.953442668
229	2.950773359
230	2.948094165
231	2.944198302
232	2.937842282
233	2.930645224
234	2.926077929
235	2.918828739
236	2.912450927
237	2.911803409
238	2.910442976
239	2.907815401
240	2.906481036
241	2.904230893
242	2.901815222
243	2.900285501
244	2.899699441
245	2.896655431
246	2.896065373
247	2.895268547
248	2.892336556
249	2.887974429
250	2.884977592
251	2.882779916
252	2.879568517
253	2.876701351
254	2.870270297
255	2.86570233
256	2.864658985
257	2.863375237
258	2.861735993
259	2.860684757
260	2.857347949
261	2.852904954
262	2.85141339
263	2.845640454
264	2.836557276
265	2.830871466
266	2.823336593
267	2.82299037
268	2.816833317
269	2.812953604
270	2.808259262
271	2.805164976
272	2.798829571
273	2.796272185
274	2.794055065
275	2.787774863
276	2.781654653
277	2.776671369
278	2.772272276
279	2.771264323
280	2.769748031
281	2.766238064
282	2.760713169
283	2.755535176
284	2.753011708
285	2.752574475
286	2.751626722
287	2.749385913
288	2.747971149
289	2.742440377
290	2.734745919
291	2.730852145
292	2.729031127
293	2.725699769
294	2.723207509
295	2.721178295
296	2.716429035
297	2.708165651
298	2.705684701
299	2.701069853
