iter	Passed	Remaining
0	0	229
1	1	223
2	2	218
3	2	211
4	3	207
5	4	203
6	4	199
7	5	195
8	5	190
9	6	188
10	7	187
11	7	185
12	8	183
13	8	182
14	9	179
15	10	179
16	10	178
17	11	178
18	12	177
19	12	177
20	13	175
21	13	175
22	14	175
23	15	175
24	15	174
25	16	173
26	17	173
27	17	172
28	18	172
29	19	171
30	19	170
31	20	169
32	20	169
33	21	169
34	22	169
35	23	168
36	23	168
37	24	169
38	25	169
39	25	168
40	26	167
41	27	166
42	27	166
43	28	165
44	29	164
45	29	163
46	30	163
47	31	163
48	31	162
49	32	161
50	33	161
51	33	160
52	34	160
53	35	159
54	35	158
55	36	157
56	36	157
57	37	156
58	38	156
59	38	155
60	39	155
61	40	154
62	40	153
63	41	153
64	42	153
65	42	152
66	43	151
67	44	151
68	44	150
69	45	149
70	46	148
71	46	147
72	47	147
73	48	146
74	48	146
75	49	145
76	49	144
77	50	144
78	51	143
79	51	142
80	52	141
81	53	141
82	53	141
83	54	140
84	55	140
85	56	139
86	56	138
87	57	137
88	57	136
89	58	136
90	58	135
91	59	134
92	60	134
93	61	134
94	61	133
95	62	132
96	63	132
97	63	131
98	64	130
99	65	130
100	65	129
101	66	128
102	67	129
103	68	128
104	68	128
105	69	127
106	70	127
107	71	126
108	71	125
109	72	125
110	73	125
111	74	124
112	74	124
113	75	123
114	76	122
115	76	121
116	77	121
117	78	120
118	78	119
119	79	119
120	80	118
121	81	118
122	81	117
123	82	117
124	83	116
125	83	115
126	84	115
127	85	114
128	85	113
129	86	113
130	87	112
131	87	111
132	88	111
133	89	110
134	89	109
135	90	109
136	91	108
137	92	108
138	92	107
139	93	106
140	94	106
141	94	105
142	95	104
143	96	104
144	96	103
145	97	102
146	98	102
147	98	101
148	99	100
149	100	100
150	100	99
151	102	100
152	103	99
153	104	99
154	105	98
155	106	98
156	107	97
157	107	96
158	108	96
159	109	95
160	109	94
161	110	94
162	111	93
163	112	93
164	113	92
165	114	92
166	114	91
167	115	90
168	116	90
169	117	89
170	117	88
171	118	88
172	119	87
173	120	87
174	121	86
175	121	85
176	122	85
177	123	84
178	123	83
179	124	82
180	125	82
181	125	81
182	126	80
183	127	80
184	128	79
185	128	78
186	129	78
187	130	77
188	130	76
189	131	76
190	132	75
191	133	74
192	133	74
193	134	73
194	135	72
195	136	72
196	137	71
197	137	71
198	138	70
199	139	69
200	140	69
201	141	68
202	142	67
203	142	67
204	143	66
205	144	65
206	145	65
207	146	64
208	146	63
209	147	63
210	148	62
211	149	62
212	150	61
213	151	60
214	151	60
215	152	59
216	153	58
217	154	58
218	155	57
219	156	56
220	157	56
221	158	55
222	159	55
223	160	54
224	160	53
225	161	52
226	162	52
227	163	51
228	164	50
229	165	50
230	166	49
231	166	48
232	167	48
233	168	47
234	169	46
235	169	46
236	170	45
237	171	44
238	172	43
239	172	43
240	173	42
241	174	41
242	175	41
243	175	40
244	177	39
245	178	39
246	178	38
247	179	37
248	180	36
249	181	36
250	182	35
251	183	34
252	183	34
253	184	33
254	185	32
255	186	32
256	187	31
257	188	30
258	189	29
259	190	29
260	190	28
261	191	27
262	192	27
263	193	26
264	193	25
265	194	24
266	196	24
267	196	23
268	197	22
269	198	22
270	199	21
271	200	20
272	201	19
273	201	19
274	202	18
275	203	17
276	204	16
277	205	16
278	205	15
279	206	14
280	207	14
281	209	13
282	210	12
283	211	11
284	211	11
285	212	10
286	213	9
287	214	8
288	215	8
289	216	7
290	217	6
291	217	5
292	218	5
293	219	4
294	220	3
295	220	2
296	221	2
297	222	1
298	223	0
299	223	0
