Model,Param,Values Tried,Best Value,Best MAE
Random Forest,max_depth,"[3, 4, 6, 8, 10]",6.0,2.270661473710191
Random Forest,min_samples_leaf,"[2, 5, 10, 15, 20]",2.0,2.270661473710191
Random Forest,n_estimators,"[50, 100, 200, 300, 500]",100.0,2.270661473710191
XGBoost,learning_rate,"[0.01, 0.05, 0.1, 0.15, 0.2]",0.2,2.2478374318981946
XGBoost,max_depth,"[2, 3, 4, 5, 6]",2.0,2.2478374318981946
XGBoost,n_estimators,"[50, 100, 200, 300, 500]",50.0,2.2478374318981946
XGBoost,subsample,"[0.6, 0.7, 0.8, 0.9, 1.0]",0.6,2.2478374318981946
LightGBM,learning_rate,"[0.01, 0.05, 0.08, 0.1, 0.2]",0.01,2.2670062909697486
LightGBM,max_depth,"[3, 4, 5, 6, 8]",3.0,2.2670062909697486
LightGBM,n_estimators,"[100, 200, 300, 400, 500]",500.0,2.2670062909697486
LightGBM,subsample,"[0.6, 0.7, 0.8, 0.9, 1.0]",0.6,2.2670062909697486
CatBoost,depth,"[3, 4, 5, 6, 8]",4.0,2.2391902882601684
CatBoost,iterations,"[100, 200, 300, 400, 500]",200.0,2.2391902882601684
CatBoost,learning_rate,"[0.01, 0.05, 0.08, 0.1, 0.2]",0.05,2.2391902882601684
