iter	RMSE
0	3.780785725
1	3.73106495
2	3.667940533
3	3.610588122
4	3.553217237
5	3.50187418
6	3.463879035
7	3.417618925
8	3.377993942
9	3.336019738
10	3.305579468
11	3.269728686
12	3.237835307
13	3.20743432
14	3.180261941
15	3.155595133
16	3.129102967
17	3.107294002
18	3.08687851
19	3.069931163
20	3.050604007
21	3.033777896
22	3.012679765
23	2.992705255
24	2.974079144
25	2.956386588
26	2.942419402
27	2.926583638
28	2.913847378
29	2.900381454
30	2.891004486
31	2.879122602
32	2.87139313
33	2.862302147
34	2.852211895
35	2.843236216
36	2.83215315
37	2.821545569
38	2.813016678
39	2.803601481
40	2.796184375
41	2.788314952
42	2.78070674
43	2.776551702
44	2.767011645
45	2.762057756
46	2.755381595
47	2.749041694
48	2.743977552
49	2.735598705
50	2.729213419
51	2.72340088
52	2.715645971
53	2.711662339
54	2.704885466
55	2.698077512
56	2.69380137
57	2.689095371
58	2.683270125
59	2.676441368
60	2.67188665
61	2.669395859
62	2.666588315
63	2.661345544
64	2.65549891
65	2.650172356
66	2.645306773
67	2.640477551
68	2.635797038
69	2.632724144
70	2.628172981
71	2.624025509
72	2.619940011
73	2.618627505
74	2.612930581
75	2.609007125
76	2.605947334
77	2.601294561
78	2.596369923
79	2.592215842
80	2.588337236
81	2.5824669
82	2.578830514
83	2.574866997
84	2.570766707
85	2.56688337
86	2.563672724
87	2.560332772
88	2.558001682
89	2.554029232
90	2.551168737
91	2.547783404
92	2.546464571
93	2.543717335
94	2.540716572
95	2.537001133
96	2.533652542
97	2.531000354
98	2.528041645
99	2.525133746
100	2.520817114
101	2.517534839
102	2.51349698
103	2.509821043
104	2.507995049
105	2.504262163
106	2.499812231
107	2.497051687
108	2.493427536
109	2.490672353
110	2.487547158
111	2.485367654
112	2.482276409
113	2.478918842
114	2.477540211
115	2.475175819
116	2.473014817
117	2.469351678
118	2.464696973
119	2.462093798
120	2.460869375
121	2.457948642
122	2.454160979
123	2.448286454
124	2.446781069
125	2.442066521
126	2.438899049
127	2.433973972
128	2.431290986
129	2.430032289
130	2.427315937
131	2.424720182
132	2.423945613
133	2.422358942
134	2.420355449
135	2.415902816
136	2.414370444
137	2.412219863
138	2.409040521
139	2.406079796
140	2.402842235
141	2.399036432
142	2.393970238
143	2.392042607
144	2.389027726
145	2.386850583
146	2.384889468
147	2.382268651
148	2.378143231
149	2.375166383
150	2.373714652
151	2.371372543
152	2.368354563
153	2.365600461
154	2.363647568
155	2.360264589
156	2.359855237
157	2.356519753
158	2.353098313
159	2.350779845
160	2.348289901
161	2.347719049
162	2.345579817
163	2.342088658
164	2.341761257
165	2.340820072
166	2.338250214
167	2.334769747
168	2.333180681
169	2.330657903
170	2.328369971
171	2.325030205
172	2.323615905
173	2.318714242
174	2.316574817
175	2.314615989
176	2.311482088
177	2.308641921
178	2.3058839
179	2.302411085
180	2.299313731
181	2.296603465
182	2.294145248
183	2.29141276
184	2.288525723
185	2.285077506
186	2.284635049
187	2.283392873
188	2.281013019
189	2.278587233
190	2.275102521
191	2.272123562
192	2.269212922
193	2.267492635
194	2.263927091
195	2.259941777
196	2.257597469
197	2.256797964
198	2.253225108
199	2.252165453
200	2.249925405
201	2.247853707
202	2.247163413
203	2.243994673
204	2.241840795
205	2.240999085
206	2.237365321
207	2.23399944
208	2.233902764
209	2.231675588
210	2.2286284
211	2.226816571
212	2.222874504
213	2.22006135
214	2.219259658
215	2.21781003
216	2.21529533
217	2.214376908
218	2.209663128
219	2.207899258
220	2.207804793
221	2.204657549
222	2.203287576
223	2.202757354
224	2.200345841
225	2.19874264
226	2.198624622
227	2.19777271
228	2.195878041
229	2.193075818
230	2.190362628
231	2.187274502
232	2.187086934
233	2.185248022
234	2.182739974
235	2.179959122
236	2.179842652
237	2.177225951
238	2.173830577
239	2.170971087
240	2.170801837
241	2.168990624
242	2.16826867
243	2.165860591
244	2.164027036
245	2.160210178
246	2.157799539
247	2.154408909
248	2.153650093
249	2.14993981
250	2.149422109
251	2.149146862
252	2.148920369
253	2.146167955
254	2.143166604
255	2.14030121
256	2.138757669
257	2.136702526
258	2.13553478
259	2.134196415
260	2.132496924
261	2.130218849
262	2.129633705
263	2.128795082
264	2.128702686
265	2.125609528
266	2.123328734
267	2.121503482
268	2.11862665
269	2.11670606
270	2.115867592
271	2.113715415
272	2.113622955
273	2.110775872
274	2.109199314
275	2.106619116
276	2.103945153
277	2.101279079
278	2.100297781
279	2.100083627
280	2.098063996
281	2.095463364
282	2.094056561
283	2.091867395
284	2.089688119
285	2.089184088
286	2.089081876
287	2.087574418
288	2.08729969
289	2.085860071
290	2.085775779
291	2.084232693
292	2.082626662
293	2.082542711
294	2.081141601
295	2.080527115
296	2.080197405
297	2.07564492
298	2.072450697
299	2.070611521
300	2.068390812
301	2.068328452
302	2.068197251
303	2.066280028
304	2.064751725
305	2.064119898
306	2.064052803
307	2.06244316
308	2.060247345
309	2.056921678
310	2.056826698
311	2.053212882
312	2.050288082
313	2.050248733
314	2.04782258
315	2.044135614
316	2.044056032
317	2.041289185
318	2.040521303
319	2.039870989
320	2.036771176
321	2.036688664
322	2.036037106
323	2.033217982
324	2.033016005
325	2.032190783
326	2.032071097
327	2.030783675
328	2.030215603
329	2.029947963
330	2.02646483
331	2.024956654
332	2.023151532
333	2.021840333
334	2.020670788
335	2.019069264
336	2.018971348
337	2.017908426
338	2.016166236
339	2.016131845
340	2.015027457
341	2.014633127
342	2.012640131
343	2.009342563
344	2.007199551
345	2.003937518
346	2.002300201
347	2.000121399
348	2.000000606
349	1.996316045
350	1.994734412
351	1.992351299
352	1.992315431
353	1.992061656
354	1.991909771
355	1.991831918
356	1.988902344
357	1.986026854
358	1.984306071
359	1.981666537
360	1.979786927
361	1.976583862
362	1.973623689
363	1.973571111
364	1.970435541
365	1.969315753
366	1.968795168
367	1.967866574
368	1.967748404
369	1.967712774
370	1.965176995
371	1.964222482
372	1.962886443
373	1.960268133
374	1.958541927
375	1.957101241
376	1.954358609
377	1.951249985
378	1.950745649
379	1.948135877
380	1.946035158
381	1.944260595
382	1.941664837
